Institution Name,Institution Type,Authorized by BCB,SPI Participation Type,Payment Initiation Service
DGBK CREDIT S.A. - SOCIEDADE DE CRÉDITO DIRETO.,Sociedade de Crédito Direto,Sim,Direta,Sim
A55 SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
QI SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
LISTO SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
MAGNUM SCD,Sociedade de Crédito Direto,Sim,Direta,Não
MONETARIE SCD,Sociedade de Crédito Direto,Sim,Direta,Não
NIXFIN SCD,Sociedade de Crédito Direto,Sim,Direta,Não
NUMBRS SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
OPEA SCD,Sociedade de Crédito Direto,Sim,Direta,Não
PLANNER SOCIEDADE DE CRÉDITO DIRETO,Sociedade de Crédito Direto,Sim,Direta,Não
REVOLUT SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
J17 - SCD S/A,Sociedade de Crédito Direto,Sim,Direta,Não
SANTS SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
SER FINANCE SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
SOMAPAY SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
STARK SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
SUMUP SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
SUPERLÓGICA SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
TRINUS SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
UNAVANTI SCD S/A,Sociedade de Crédito Direto,Sim,Direta,Não
KIKAI SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
INTEGRAÇÃO DE CRÉDITO E COBRANÇA SCD,Sociedade de Crédito Direto,Sim,Direta,Não
ACCREDITO SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
HR DIGITAL SCD,Sociedade de Crédito Direto,Sim,Direta,Não
ALL IN CRED SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
ARTTA SCD,Sociedade de Crédito Direto,Sim,Direta,Não
ATICCA SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
BFC SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
BMP SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
BMS SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
BONUSPAGO SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
BRCONDOS SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
CAPITAL CONSIG SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
CDC SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
CREDIFIT SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
CREDSYSTEM SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
DELFINANCE SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
DELTA GLOBAL SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
FFCRED SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Não
G5 SCD SA,Sociedade de Crédito Direto,Sim,Direta,Não
HBI SCD,Sociedade de Crédito Direto,Sim,Direta,Não
LEND SCD S.A.,Sociedade de Crédito Direto,Sim,Direta,Etapa Homologatória
