Institution Name,Institution Type,Authorized by BCB,SPI Participation Type,Payment Initiation Service
ITAÚ UNIBANCO S.A.,Banco Múltiplo,Sim,Direta,Sim
BRB - BCO DE BRASILIA S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO SAFRA S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO BV S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO VOTORANTIM S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO RIBEIRAO PRETO S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO BRADESCO S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO XP S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO BMG S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO DO ESTADO DO RS S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO DO BRASIL S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,Sim,Direta,Sim
BANCO BTG PACTUAL S.A.,Banco Múltiplo,Sim,Direta,Sim
BANCO SEMEAR,Banco Múltiplo,Sim,Direta,Sim
PARANA BCO S.A.,Banco Múltiplo,Sim,Direta,Sim
BANCO INTER,Banco Múltiplo,Sim,Direta,Sim
BANCO GENIAL,Banco Múltiplo,Sim,Direta,Sim
BCO MERCANTIL DO BRASIL S.A.,Banco Múltiplo,Sim,Direta,Sim
BCO PINE S.A.,Banco Múltiplo,Sim,Direta,Não
BCO PAULISTA S.A.,Banco Múltiplo,Sim,Direta,Não
BANCO BARI S.A.,Banco Múltiplo,Sim,Direta,Não
BCO VR S.A.,Banco Múltiplo,Sim,Direta,Não
BCO SENFF S.A.,Banco Múltiplo,Sim,Direta,Não
BCO SOFISA S.A.,Banco Múltiplo,Sim,Direta,Não
BCO TRIANGULO S.A.,Banco Múltiplo,Sim,Direta,Não
BCO J.P. MORGAN S.A.,Banco Múltiplo,Sim,Direta,Não
BOFA MERRILL LYNCH BM S.A.,Banco Múltiplo,Sim,Direta,Não
NOVO BCO CONTINENTAL S.A. - BM,Banco Múltiplo,Sim,Direta,Não
OMNI BANCO S.A.,Banco Múltiplo,Sim,Direta,Não
OURIBANK S.A.,Banco Múltiplo,Sim,Direta,Não
PICPAY BANK - BANCO MÚLTIPLO S.A,Banco Múltiplo,Sim,Direta,Não
BCO LUSO BRASILEIRO S.A.,Banco Múltiplo,Sim,Direta,Não
BCO DO NORDESTE DO BRASIL S.A.,Banco Múltiplo,Sim,Direta,Não
BCO INDUSTRIAL DO BRASIL S.A.,Banco Múltiplo,Sim,Direta,Não
BCO HSBC S.A.,Banco Múltiplo,Sim,Direta,Não
BANCO DIGIO,Banco Múltiplo,Sim,Direta,Não
BANCO ORIGINAL,Banco Múltiplo,Sim,Direta,Não
BANCO PAN,Banco Múltiplo,Sim,Direta,Não
BANCO TOPÁZIO S.A.,Banco Múltiplo,Sim,Direta,Não
BANCO TRAVELEX S.A.,Banco Múltiplo,Sim,Direta,Não
BCO ABC BRASIL S.A.,Banco Múltiplo,Sim,Direta,Não
BCO AFINZ S.A. - BM,Banco Múltiplo,Sim,Direta,Não
BCO BANESTES S.A.,Banco Múltiplo,Sim,Direta,Não
BCO BNP PARIBAS BRASIL S A,Banco Múltiplo,Sim,Direta,Não
BCO BRASILEIRO DE CRÉDITO S.A.,Banco Múltiplo,Sim,Direta,Não
BCO BS2 S.A.,Banco Múltiplo,Sim,Direta,Não
BCO C6 S.A.,Banco Múltiplo,Sim,Direta,Não
BCO CITIBANK S.A.,Banco Múltiplo,Sim,Direta,Não
BCO CSF S.A.,Banco Múltiplo,Sim,Direta,Não
BCO DAYCOVAL S.A,Banco Múltiplo,Sim,Direta,Não
BCO DO EST. DE SE S.A.,Banco Múltiplo,Sim,Direta,Não
BCO DO EST. DO PA S.A.,Banco Múltiplo,Sim,Direta,Não
BCO FIBRA S.A.,Banco Múltiplo,Sim,Direta,Não
BCO GUANABARA S.A.,Banco Múltiplo,Sim,Direta,Não
SOCIAL BANK S/A,Banco Múltiplo,Sim,Direta,Não
