Institution Name,Institution Type,Authorized by BCB,SPI Participation Type,Payment Initiation Service
99PAY IP S.A.,Instituição de Pagamento,Sim,Direta,Sim
IFOOD PAGO IP,Instituição de Pagamento,Sim,Direta,Sim
WE PAY OUT IP LTDA.,Instituição de Pagamento,Sim,Direta,Sim
TRIO IP LTDA.,Instituição de Pagamento,Sim,Direta,Sim
STARK BANK S.A. - IP,Instituição de Pagamento,Sim,Direta,Sim
PROTOTYPE IP S.A.,Instituição de Pagamento,Sim,Direta,Sim
PICPAY,Instituição de Pagamento,Sim,Direta,Sim
PAGSEGURO INTERNET IP S.A.,Instituição de Pagamento,Sim,Direta,Sim
PAGPRIME IP,Instituição de Pagamento,Sim,Direta,Sim
OKTO IP,Instituição de Pagamento,Sim,Direta,Sim
NEON PAGAMENTOS S.A. IP,Instituição de Pagamento,Sim,Direta,Sim
MERCADO PAGO IP LTDA.,Instituição de Pagamento,Sim,Direta,Sim
MAPS IP LTDA.,Instituição de Pagamento,Sim,Direta,Sim
MAGALUPAY,Instituição de Pagamento,Sim,Direta,Sim
MAG IP LTDA.,Instituição de Pagamento,Sim,Direta,Sim
NU PAGAMENTOS - IP,Instituição de Pagamento,Sim,Direta,Sim
BEETELLER IP LTDA.,Instituição de Pagamento,Sim,Direta,Sim
CELCOIN IP S.A.,Instituição de Pagamento,Sim,Direta,Sim
CIELO IP S.A.,Instituição de Pagamento,Sim,Direta,Sim
ADYEN DO BRASIL IP LTDA.,Instituição de Pagamento,Sim,Direta,Sim
EFÍ S.A. - IP,Instituição de Pagamento,Sim,Direta,Sim
EBANX IP LTDA.,Instituição de Pagamento,Sim,Direta,Sim
DOCK IP S.A.,Instituição de Pagamento,Sim,Direta,Sim
DLOCAL BRASIL IP S.A.,Instituição de Pagamento,Sim,Direta,Sim
AVANCARD PROVER IP LTDA,Instituição de Pagamento,Sim,Direta,Sim
CLOUDWALK IP LTDA,Instituição de Pagamento,Sim,Direta,Sim
FITS IP,Instituição de Pagamento,Sim,Direta,Não
STONE IP S.A.,Instituição de Pagamento,Sim,Direta,Não
QUERO-QUERO VERDECARD IP S.A.,Instituição de Pagamento,Sim,Direta,Não
SRM BANK,Instituição de Pagamento,Sim,Direta,Não
ASAAS IP S.A.,Instituição de Pagamento,Sim,Direta,Não
SWAP IP S.A.,Instituição de Pagamento,Sim,Direta,Não
TRANSFEERA IP S.A.,Instituição de Pagamento,Sim,Direta,Não
BIZ IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
WASU IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
WOOVI IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
WX IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
Z1 IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
ZERO IP,Instituição de Pagamento,Sim,Direta,Não
PINBANK IP,Instituição de Pagamento,Sim,Direta,Não
PAY IP S.A.,Instituição de Pagamento,Sim,Direta,Não
PAY4FUN IP S.A.,Instituição de Pagamento,Sim,Direta,Não
MT IP S.A.,Instituição de Pagamento,Sim,Direta,Não
EWALLY IP S.A.,Instituição de Pagamento,Sim,Direta,Não
ISSUER IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
IUGU IP S.A.,Instituição de Pagamento,Sim,Direta,Não
KIWIFY IP,Instituição de Pagamento,Sim,Direta,Não
IDEA MAKER IP LTDA,Instituição de Pagamento,Sim,Direta,Não
MAX IP,Instituição de Pagamento,Sim,Direta,Não
LB PAY IP LTDA,Instituição de Pagamento,Sim,Direta,Não
MW IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
CONTA PRONTA IP,Instituição de Pagamento,Sim,Direta,Não
ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,Instituição de Pagamento,Sim,Direta,Não
ONEKEY PAYMENTS IP S.A.,Instituição de Pagamento,Sim,Direta,Não
PAGARE IP S.A.,Instituição de Pagamento,Sim,Direta,Não
PAGSMILE IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
PAGUEVELOZ IP LTDA.,Instituição de Pagamento,Sim,Direta,Não
AWX BRASIL IP LTDA.,Instituição de Pagamento,Sim,Direta,Etapa Homologatória
CACTVS IP S.A.,Instituição de Pagamento,Sim,Direta,Etapa Homologatória
GETNET IP,Instituição de Pagamento,Sim,Direta,Etapa Homologatória
MONERY IP S.A.,Instituição de Pagamento,Sim,Direta,Etapa Homologatória
SEM PARAR IP,Instituição de Pagamento,Sim,Direta,Etapa Homologatória
VUE IP S.A.,Instituição de Pagamento,Sim,Direta,Ativo em operação restrita
